label,text,sample_id
Блок технического директора,«ORGANIZATION] уведомляет о прекращении процедуры введения ограничения режима потребления электрической энергии в отношении филиала филиала в [LOCATIОN] «PERSON» о введении ограничения в отношению «ОРГАNIЗАTIOН».,11
Генеральный директор,"АО «ORGANIZATION-[REGION] заключило трехстороннее соглашение, согласно которому «ADMINISTRATIОN] перечисляет арендную плату по договорам аренды земельных участков, заключенным с [ADMISТРAТИON», в рамках которого «ADМINIСTRАTIOН] считает средства, направленные в адрес владельца земли.",12
Блок директора по мощностям,Общество с ограниченной ответственностью Энергия нефтегазового сервиса готово выполнить дальнейшее строительство дополнительной скважины No [FINANCIAL_DATA] на КП No [OBJECT] по расценкам и условиям договора No [DOCUMENT_NUMBER] от «PERSON] о выполнении дальнейших дальнейшей работы.,13
Блок деректора по газу,"Недостоверное учете углеводородов, подаваемого на «OBJECT] и «ОBJЕCT», свидетельствует о недостоверном учете газа. Эксперты считают, что достоверность учета углеводородных углеводородной недостоверна, однако эксперты сомневаются в достоверности определения расходов газа.",14
Управление по проектным работам,Начальник управления по проектно-изыскательским работам и взаимодействию с надзорными органами «ORGANIZATION» не возражает провести внеплановый аудит субподрядной организации для определения возможностей выполнения работ по объекту «OBJECT».,15
Блок директора по строительству,"Директор по капитальному строительству филиала [ORGANIZATION] сообщил о строительстве кустовой площадки No2 филиала «LOCATIОN» филиала, который планирует построить куст газовых скважин No2. Для этого необходимо выполнить следующие подготовительные мероприятия: установка прав на земельный участок и работы по лесосведению в границах земельного участка.",16
Блок директора по строительству,"«ORGANIZATION] согласовывает алгоритм компенсации за переданную электроэнергию за выполненные строительно-монтажные работы на давальческой основе в рамках реализации ВЗиС «NUMBER] км «OBJECT» на давалическую основе, а также предлагает согласовывать условия компенсации.",17
Блок деректора по газу,«ORGANIZATION] привлекает субподрядную организацию для выполнения контрольных сварных соединений (КСС) по трубопроводам ТДА 2.2 и ТДА 3.2 на территории [LOCATIОN] в качестве субподрадной организации. Ответственный от [ORГAНIZАTIOН] «PERSON» должен выполнить контрольные сварные соединения (КСS).,18
Блок директора по мощностям,"Объявлена компенсация за затраты на приобретение электрических изгородей – Электропастух, которое не учтено в калькуляции суточной ставки и не учтено в калькуляционной ставке. Директор по введению новых мощностей просит подтвердить компенсацию по факту понесенных затраченных затрат, согласно прилагаемому расчету.",19
Блок заместителя генерального директора по безопасности,Общество с ограниченной ответственностью «ORGANIZATION] согласовало План проведения тактико-специальных учений по взаимодействию сил и средств корпоративной системы гражданской защиты в рамках системы гражданческой защиты.,20
Блок заместителя генерального директора по защите,"Защитные ограждающие конструкции (ЗОК) могут быть использованы на опасных производственных объектах, в том числе в рамках комплексных учений по подтверждению готовности к действиям по локализации и ликвидации последствий аварий на ОПО.",21
"Проект ""Новая нефть""","Согласование поверочных расчетов расходомерных устройств антиповреждной защиты [OBJECT] «PERSON» рассматривает поверочные расчеты расходомерные устройства антиповрежеднойзащиты «OBSJECT». Эксперты считают, что расчетам не помешает.",22
Блок технического директора,"Общество с ограниченной ответственностью «ORGANIZATION Сервисные технологии» требует принять участие в разработке актуализированной программы ЦИН на период [DATE_TIME] по направлениям: замена трубопроводов, капитальный капитальный ремонт, устранение дефектов по результатам диагностирования (ВТД, наружное).",23
Блок директора по проектированию,"ФГКУ РОСГЕОЛЭКСПЕРТИЗА не устранило нарушения, допущенные при представлении заявочной документации на осуществление регионального геологического изучения недр. Проектная документация на геологическое изучение недр, включающая поиски и оценку месторождения песка на участке недр [OBJECT] на участке недр «OBSJECT» в «LOCATION] по лицензии на пользование недрами.",24
Блок заместителя генерального директора по организационным вопросам,"В связи с вступлением в силу Приказа «ORGANIZATION», который регламентирует выставление бухгалтерских документов в системе электронного документооборота (ЭТП), прошу рассмотреть дополнительное соглашение к договору аренды имущества No [DOCUMENT_NUMBER] и подписать дополнительное соглашение.",25
Блок директора по мощностям,«ORGANIZATION] вынуждена отклонить предложение о заключении дополнительного соглашения о выполнении высокомонтажных работ в рамках заключения будущих соглашений.,26
Блок директора по строительству,Директор по капитальному строительству «ORGANIZATION] просит согласовать проведение строительно-монтажных работ в выходные и праздничные дни с «DATE_TIME] по объекту в рамках исполнения договорных обязательств по договору No [DOCUMENT_NUMBER] в рамок исполнения обязательств.,27
Блок директора по мощностям,Начальнику управления по бурению «PERSON» (PERСON) (PERSOН) «PersON] (PerSОN) может быть предоставлена подробная подробная информация о строительстве эксплуатационных скважин на месторождение «OBJECT».,28
"Проект ""Нефтяные краюшки""","«ORGANIZATION] поставляет установку подготовки топливного газа для объекта «OBJECT». Заказчиком является компания «OPERSON», которая по договору No [DOCUMENT_NUMBER] готовит топливную установку.",29
Блок директора по строительству,"Объединение газоконденсатных скважин No[NUMBER], газовые скважи No[numBER, No[НОМBER» и газовых скваженных скважей No[BJECT] может быть возбуждено уголовное уголовно-исполнительное тяжбы. Эксперты говорят, что проект является частью строительства.",30
Блок заместителя генерального директора по организационным вопросам,Заказчик Уренгойского НГКМ заключил дополнительное соглашение на увеличение срока вахты для сотрудников Исполнителя на объекте УНГКМ с 30 до 45 дней в рамках трудового кодекса Российской Федерации. Заказчика просят инициировать заключение дополнительного соглашения на изменение продолжительности Вахты до 3х месяцев.,31
Блок директора по мощностям,Компания [ORGANIZATION] предоставит дополнительного инженерно-технического сотрудника для круглосуточной координации постов по ВСП при ремонте скважин на месторождении. К работе будет привлечен ведущий супервайзер по ТКРС и ОС «PERSON».,32
"Проект ""Новая нефть""","«PERSON] в рамках разработки, изготовления и поставки агрегатов «FINANCIAL_DATA] для объекта [OBJECT] (ТТ No [DOCUMENT_NUMBER] от [DATE_TIME] (ТС No [ORGANIZATION) для «OBSJECT» (ТТ NO [DОCUCE_TIME]), направляем в Ваш адрес график разработки КД.",33
Генеральный директор,"Генеральному директору «ORGANIZATION» Геннадию Прохорова предлагаем рассмотреть к применению на объектах строительной химии наши технические разработки, использующиеся для уплотнения и связывания грунтовых оснований, повышения прочности грунтового основания, гидроизоляции крыш, бассейнов градирен, уплотнение и соединения грунтов, подъема конструкций и комплексных объектов сооружений парковых зон.",34
Блок технического директора,Техническому директору [ORGANIZATION] требуется продлить согласование о привлечении субисполнителя в рамках договоров No [DOCUMENT_NUMBER] в рамки договоров о вывлечении скважины No [NUMBECT] в «DATE_TIME».,35
Блок деректора по газу,На заводские испытания гидроприводного компрессорного блока приглашаются руководитель «ORGANIZATION» для проведения заводских испытений гидроприводных компрессорных блоков в период с [DATE_TIME] по [DАТE_ТИME].,36
"Проект ""Северная деревня""","Исполнительному директору [ORGANIZATION] «PERSON» удалось устранить выявленные замечания в связи со своим письмом исх. No[DOCUMENT_NUMBER] письмо, направленное Заказчиком на изготовление УППГ.",37
Блок директора по мощностям,"Объявление о введении новых мощностей «ORGANIZATION нефтяных месторождений КНР» было приурочено к 20-летию со дня рождения нефтяного концерна КНР. Благодарственное письмо, в котором выражаю благодарность за совместную плодотворную деятельность, направленную на обеспечение непрерывного и эффективного производственного процесса «OРGAНIZАTIOН».",38
Блок директора по мощностям,"Начальнику управления по бурению требуются механизмы опормления пропусков для сотрудников нашей компанией, оказывающих услуги по технологическому надзору за строительством эксплуатационных скважин (супервайзинг буровых и тампонажных работ) на [OBJECT] по договору с [ORGANIZATION] No [DOCUMENT_NUMBER] для неопытности выполнения процедуры получения пропусков.",39
Блок деректора по газу,"При реализации полного комплекса объектов, необходимых для обеспечения полезного использования ПНГ, мы столкнулись с изменением ряда ключевых условий, которые привели к уменьшению реальных объемов поставки ПНГ до объемов не превышающих гарантируемых объемов переработки ПНГ.",40
Генеральный директор,"Общероссийский общественный благотворительный Фонд «ORGANIZATION» (PERSON) «CONTACT] в рамках программы Дети [OBJECT] помогает сиротам, сиротам и беженцам, которые живут под обстрелами уже не первый год.",41
Блок технического директора,«PERSON] направил Вам Акт сверки расчетов за период с [DOCUMENT_NUMBER] за период между [ORGANIZATION» и [LOCATIION) за период до [DATE_TIME] по [DAATЕ_ТИME] между «ORГАNIЗATIОN] и «LOCE_TIME_NUMБER] в адрес [OРГANIIZАTIOН] ,42
Блок технического директора,"Правительство проверило правильность оформления заявительного заявления на допуск в эксплуатацию (временного разрешения) энергетической установки, которая должна быть выдана в соответствии с правилами технологического присоединения к электрическим сетям. Эксперты отмечают, что в результате проверки правильности оформления соответствующего заявления установлены следующие несоответствия и (или) отсутствие необходимых документов, в том числе справка о выполнении технических условий, предусмотренная проектной документацией.",43
Блок директора по портфелю,«ORGANIZATION] объявил о намерении увеличить поставки нестабильного конденсата на III–IV кварталы 2025 года в полном объеме для актуализации предложений по переработке нестабильных конденсата и нефти на III—IV квартала 2025 года.,44
Блок директора по персоналу,Российский рынок труда определяет государственную политику на российском рынке труда и проводит Всероссийский опрос работодателей для определения государственной политики на рыночном рынках труда.,45
Блок директора по строительству,"Объявление о согласованности работ по обустройству кустовых площадок, строительству линейных объектов (в т.ч. линий электропередач, трубопроводов, линии электропередач), месторождений и других объектов.",46
Управление по проектным работам,«PERSON» назначен руководителем авторского авторского надзора за строительством объектов «ORGANIZATION] АКЦИОНЕРНОЕ ОБЩЕСТВО No [DOCUMENT_NUMBER] Акционерное ОБЩество «OРGAANIЗATIОN] «CONTACT» Начальнику управления по проектно-изыскательским работам и взаимодействию с надзорными органами «COnTACT».,47
Блок директора по проектированию,Врио генерального директора [ORGANIZATION] согласовывает техническое задание на разработку объекта недра собственных проектов и добыве углеводородного сырья на объекте недра.,48
Блок директора по строительству,«PERSON» просит согласовать отпуск питьевой воды в объеме «FINANCIAL_DATA] м3/сутки с куста бИ для обеспечения жизнедеятельности вахтового жилого городка нашего Общества.,49
Блок технического директора,"Техническому директору «PERSON» сообщается, что в производственную программную программу по организации ТО и ТР АСУТП, КИПиА, ОПС, СТВН на 2025 г. включена дополнительная единица автотранспортной техники. С учетом внеплановой мобилизации автотранспорта и длительного срока оформления пропусков на автотранспорт и водительского состава, ориентировочная дата выхода дополнительной единицы.",50
Блок директора по портфелю,Техническому директору [ORGANIZATION] «LOCATIAL_DATA] «PERSON» (PERСON) «ORГANGIZAТИON_LOCIAL-DATBE_TIME] «ATTACHCHMENTS] (ATTACHMENGTS_PERSE_TIME) «PERSON/PERRSOН] (PerSОN) может быть,51
"Проект ""Нефтяные краюшки""",Нефтяные оторочки в Яуаплылыгы сикльбеггинтересте. Заказчики просят предоставить количество и диаметры приходящих снаружи кабелей в Блок-бокс насосной метанола (DOCUMENT_NUMBER) и количество входящих с снаружей кабелей.,52
Блок директора по мощностям,"Директор по введению новых мощностей компании «ORGANIZATION» приглашает участие в техническом семинаре компании «PERSON», который пройдет в Санкт-петербурге.",53
Блок технического директора,"В рамках реализации дорожной карты Министерства промышленности и торговли Российской Федерации к контрольно-измерительному оборудованию отнесен анализатор для определения содержания хлорорганических соединений (ХОС) в нефтяной отрасли по ГОСТ 33342, ГОСТ Р 52247 (метод Б, арбитражный), с поручением ПАО [ORGANIZATION] НЕФТЬ импортозамещения контролно- измерительного прибора (DOCUMENT_NUMBER).",54
Управление по проектным работам,"Система телевизионного мониторинга (далее – СТМ), которая должна быть оснащена системой телевизионного контроля (дале – СТБ), просим Вас рассмотреть и согласовать перечень объектов, подлежащих оснащению СТМ и предлагаемые технические решения по организации системы в целом, а также характеристики проектируемого оборудования СТМ в целесообразном порядке.",55
Блок директора по проектированию,«ORGANIZATION] просит авторский надзор за реализацией проектных решений по разработке нефтяных месторождений Европейской части Российской Федерации (ORГANIIZAТИON) предоставить исходные данные за второй квартал «DATE_TIME] по нефтяным залежам [OBJECT] согласно приложению.,56
Блок заместителя генерального директора по безопасности,"В Тюменской ОБЛАСТИ пройдет Региональная Конференция по теме Актуальные вопросы развития системы управления охраной труда – 2025 (далее Конференции), на которой будут рассмотрены самые актуальные вопросы формирования и развития систем управление охранной труда — 2025.",57
Блок технического директора,«ORGANIZATION] выдает согласованный объем нефтяной нефти для обеспечения объектов «OBJECT» и обеспечения инфраструктурных объектов в ближайшее будущее. «PERSON» выражает свое почтение и заинтересованность в долгосрочном сотрудничестве.,58
Управление по проектным работам,Общество с ограниченной ответственностью «ORGANIZATION» опубликовало письмо с замечаниями в формате ЛКП и ответы на замечания по объекту «OBJECT] в формату ЛКП.,59
Блок технического директора,Руководителям организаций (по списку) просят не позднее не поздно позднее направить планируемые объемы поставок сырья на II–IV кварталы 2025 года с разбивкой по месяцам. Об объемах поставки сырья в систему переработки «ORGANIZATION] на II—IV квартала 2025 года.,60
Проект «Обустройство объектов Новой нефти»,Руководителю МТР аннулировано согласование стоимости МТР. Взамен этих смет будет направлено новое согласование.,61
Блок бизнес-директора,ПАО [ORGANIZATION] нефтяная корпорация (PERSON) утвердила матрицу распределения ответственности между производственными Блоками дочернего общества для реализации договора видеоаналитики бурение и ТКРС (ATTACHMENTS) при реализации сделки видеоаналитикии и распределении ответственностей между дочерними предприятиями дочерней нефтяной отрасли (ПАО «ORГАNIЗATIION нефтяного концерна) в рамках,62
Блок технического директора,"Объемы работы по капитальному ремонту и модернизации автономных источников электроснабжения, в том числе ДВС (негарантированный объем) могут быть представлены в соответствии с Техническим заданием.",63
Блок технического директора,Налоговый кодекс Российской Федерации (НДФС) РФ устанавливает порядок оформления первичных учетных документов за весь период поставки газового стабильного (нефтяного стабильного) конденсата газовогостабильного в адрес «ORGANIZATION» в соответствии с требованиями Налогового кодекса Российскей Федерации.,64
Блок операционного директора,Операционный директор «ORGANIZATION] Операционного директора требует согласовать производство работ на объектах в период выходных и праздничных дней с 16:30 по 08:30 часов. Операционный директор требует разрешить производственные и организационные трудовые рабочие дни с 16 и 30 часов в выходные и выходные.,65
Блок директора по мощностям,Начальник Управления супервайзинга требует принять к учету исправительный пакет документов для уточнения скважины согласно изменению производственной программы скваженного ввода новых мощностей на сумму [FINANCIAL_DATA] на сумме «FINАNCIАL_ДATA» на сумма [FИНAНCIAЛ_DАTA] и акта выполненных работ.,66
Блок директора по мощностям,"В связи с острым дефицитом КРС на Уренгойской группе месторождений, «ORGANIZATION] просит рассмотреть возможность предоставления следующих единиц специализированной технической техники, а также согласовать допуск на кустовой площадке «OBJECT».",67
Блок директора по персоналу,Московский многопрофильный многопрофильное многопрофильно колледж «ORGANIZATION» принял участие в производственной практике 3 курса очной формы обучения многопрофильного колледжа по специальной специальности [PERSON] в рамках учебно-производственной практики.,68
Блок директора по строительству,Работники подрядных организаций не применяли СИЗ на рабочих местах. В целях предотвращения этих нарушений проведен внеплановый инструктаж по правилам применения СИЗ и Стоп-час с персоналом по обращению с металлической бойковой согласно акту No [DOCUMENT_NUMBER] (неприменение работниками СИЗ).,69
Блок заместителя генерального директора по безопасности,"Общество с ограниченной ответственностью «ORGANIZATION» требует согласования пропусков на транспорт возраст, которого превышает 10 лет. Экспертная группа по БДД требует, согласовав пропуски на транспорт, который превышают 10 лет, и согласовывать пропуски не будут.",70
Генеральный директор,"В селе [LOCATION] состоится Слет местных отделений местного движения, который создаст условия для развития и реализации социальной, творческой, интеллектуальной и гражданской инициативы, актуализации их гражданской позиции посредством активного вовлечения в деятельность движения «REGION».",71
Управление по проектным работам,Научный руководитель по НИР и взаимодействию с надзорными органами (PERSON) обратился с просьбой откорректировать задание на строительство технологического переоборудования по объекту Техническое переоборудование с несущего м-р.,72
Блок директора по мощностям,"Начальнику управления внутрикабинной аналитики «ORGANIZATION» «PERSON] поручено обеспечить системой внутрикабинной аналитики транспортных средств флота ГНКТ системами внутрикабинской аналитики. Транспортные средства, подлежащие оснащению СВА в рамках исполнения ДС, согласованы с ЕОЛ по договору. Дорожная карта по оснаЩению SВА утверждена ЕОЛ.",73
Блок деректора по газу,«PERSON» не смог выполнить плановые показатели по добыче углеводородов в рамках добычи нефти и газа в рамки «YEAR». По итогу работы текущего года ожидается невыполнение вышеуказанных плановых показателей по добытке углеводородной продукции.,74
Блок директора по проектированию,"ООО Инженерно-технологический сервис согласилось заключить дополнительное соглашение к Договору от Газпромнефть-Заполярье о частичной перераспределении негарантированного объема в гарантированный объем. Директор по геологической разработке, концептуальному проектированию – Главному геологу ГазпромНефть- Заполярье «PERSON] на [DATE_TIME] о заключении дополнительного соглашения.",75
Блок директора по строительству,"Генеральному директору «PERSON» просим подтвердить компенсацию возможных понесенных денежных затрат в связи с отсутствием давальческого металлопроката, который окажется не востребованным для изготовления оснований под титульные сооружения «OBJECT».",76
Блок директора по строительству,"«ORGANIZATION] заинтересовано в выполнении ремонтных работ на УКПГ-14 без НДС, в том числе: ремонт сепаратора С-301Н У КПГ-14, монтаж теплообменника (нефть-ДЭГ) на УПКГ-15 ориентировочно без Ндс. Эксперты считают, что ориентировочная стоимость услуг составит [FINANCIAL_DATA] без НДД.",77
Блок директора по мощностям,Компания «ORGANIZATION] предлагает снизить суточную ставку работы партии ГТИ и провести совместное совещание с целью оптимизации затраченных затрат на сервис геолого-технологических исследований в любое удобное время.,78
Блок деректора по газу,«PERSON] обратился к Вам с просьбой пролонгировать банковскую гарантию по истечению срока действующей первоначальной БГ. Это произойдет из-за сложившейся ситуации.,79
Блок директора по мощностям,Начальник отдела по бурению «ORGANIZATION] «PERSON» направил Вам акт работоспособности систем пожаротушения и электрооборудования в административно-бытовых и жилых жилых вагон-домах специалистов службы супервайзинга «OРGAНIZАTIOН» на объектах филиала «LOCATIОN».,80
Блок директора по строительству,"Начальник отдела по строительству площадных объектов «ORGANIZATION] «PERSON» попросил отпустить давальческие материалы по договору подряда с [ORГANGIZAТИON», который предусматривает получение давальческих материалов согласно прилагаемой заявке на получение материала согласно приложаемой ранее заявке.",81
Блок заместителя генерального директора по безопасности,Начальник отдела операционной деятельностью по экологической безопасности НИИ ЭКОЛОГИИ И РАЦИОНАЛЬНОГО ИСПОЛЬЗОВАНИЯ ПРИРОДНЫХ РЕСУРСОВ объявил об увольнении главного инженера «PERSON» о смене единого ответственного лица.,82
Блок директора по мощностям,Исполнитель не имеет права уступать права и обязанности по Договору без предварительного письменного письменного согласия Заказчика в случае уступки права требования по Доглашению без предъявления письменного соглашения Заказчику.,83
"Проект ""Новая нефть""","«ORGANIZATION] признано успешно прошедшим процедуру подтверждения соответствия требованиям технической политики в области надежности системы бесперебойного питания по номенклатуре Системы бесперебочного питания, изготовленные по «DOCUMENT_NUMBER] ТУ.",84
