label,text,sample_id
Блок директора по строительству,"Системы безопасности [ORGANIZATION] Общество с ограниченной ответственностью [ORGANIZATION] [ID], г.[LOCATION], муниципальный округ [LOCATION] вн.тер.г., [ROAD], д. [NUMBER], к. [NUMBER], стр. [NUMBER] [CONTACT], www.[WEBSITE] [ID], КПП [ID], ОКПО [ID] [DATE_TIME] No [DOCUMENT_NUMBER] от [PERSON] [CONTACT] Системы видеоаналитики на ТС Уважаемый [PERSON]! В рамках выполнения работ по монтажу комплекса инженерно-технических средств охраны (КИТСО) при строительстве объектов [OBJECT] в соответствии с договором подряда между [ORGANIZATION] и [ORGANIZATION] от [DATE_TIME] No [DOCUMENT_NUMBER]/[DOCUMENT_NUMBER]/[DOCUMENT_NUMBER]/[DOCUMENT_NUMBER] [ORGANIZATION] обязуется в срок до [DATE_TIME] установить на эксплуатируемых автотранспортных средствах внутрикабинную систему видеоаналитики. В настоящее время установление вышеуказанной системы невозможно по причине отсутствия у поставщика необходимых комплектующих. Генеральный директор Документ подписан электронной подписью Сертификат: [ID] Владелец: [PERSON], [ORGANIZATION], ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Действителен: с [DATE_TIME] по [DATE_TIME] [PERSON] тел.: [CONTACT] (доб.[NUMBER]) эл. почта: [CONTACT] [SEP] Системы видеоаналитики на транспортных средствах Общество с ограниченной ответственностью «ORGANIZATION» устанавливают на эксплуатируемых автомобилях внутрикабинную систему видеонаблюдения на ТС. Генеральному директору предстоит выполнить работы в рамках выполнения работ по монтажу комплекса инженерно-технических средств охраны (КИТСО) при строительстве объектов [OBJECT».",135
"Проект ""Северная деревня""","[ORGANIZATION] корпорацияны яуаплылыгы сикләнгән [OBJECT] 450065, [LOCATION], [CITY], [STREET], [NUMBER] www.[ORGANIZATION].ru Общество с ограниченной ответственностью [ORGANIZATION] [LOCATION] [NUMBER] No [DOCUMENT_NUMBER] от [DATE_TIME] На [DOCUMENT_NUMBER] от [ORGANIZATION] Исполнительный директор, Проект [CITY] [PERSON] г. [CITY] Копия: Руководитель проекта Обустройство площадочных объектов [CITY] [PERSON] Тема: Об оплате за ПНР. Уважаемый [PERSON]! В рамках исполнения договора No [DOCUMENT_NUMBER] от [DATE_TIME] [ORGANIZATION] выполнено шеф-монтажные и пусконаладочные работы по объекту Установка стабилизации конденсата УСК [CITY] месторождения. В соответствии с п.2.4. Договора результатом выполнения работ является готовность оборудования для последующей бесavarийной эксплуатации. Принимая во внимание факт подписания Акта ввода Товара в эксплуатацию от [DATE_TIME] [ORGANIZATION] считает работы, предусмотренные договором, выполненными в полном объеме. В то же время уполномоченным представителем [ORGANIZATION] на объекте фиксируются факты отказа от подписи акта выполненных пусконаладочных работ представителями участка [CITY] [CITY] [CITY]. Замечания относящиеся к ответственности [ORGANIZATION] - отсутствуют. Учитывая вышесказанное, прошу Вас подписать приложенные акты выполненных работ. [ATTACHMENTS] [SEP] В рамках исполнения договора No [DOCUMENT_NUMBER] выполнены шеф-монтажные и пусконаладочные работы по объекту Установка стабилизации конденсата УСК «CITY] месторождения «CitY». Заказчиком яуаплылыгы сиклпломнгбременн «OBJECT] 450065 считает выполненные работы в полном объеме выполненными в полноценном объеме.",136
Блок директора по строительству,"[PERSON] Антикризисное управление Арбитраж Банкротство Конкурсный управляющий [ORGANIZATION] Гаврилова [PERSON] [LOCATION] Иск. No [DOCUMENT_NUMBER] [ORGANIZATION] [LOCATION] ЗАПРОС ИНФОРМАЦИИ Решением Арбитражного суда [DATE_TIME] по делу No [DOCUMENT_NUMBER] [ORGANIZATION] (ОГРН [ID], ИНН [ID], адрес: [LOCATION]) (далее по тексту - должник) признано несостоятельным (банкротом), открыто конкурсное производство. Конкурсным управляющим утверждена [PERSON] - член СРО [ORGANIZATION] (ОГРН [ID], ИНН [ID], адрес: [LOCATION]). В реестре ОНВОС за [ORGANIZATION] зарегистрирован следующий объект недвижимого имущества на окружной седьмой спеду: - ВЖГ [OBJECT], станция [OBJECT] (No в реестре [DOCUMENT_NUMBER]). [ORGANIZATION] какие-либо подрядные работы на [OBJECT] не выполняет, вышеуказанный объект, по данным Конкурсного управляющего, фактически отсутствует. Для снятия указанного объекта с учета, необходимо подтверждение документов. На основании ст. 20.3, 129 Закона о банкротстве, для предоставления следующих документов в отношении указанного объекта: 1. Подтверждение отсутствия на [OBJECT] следующего объекта ОНВОС: ВЖГ [OBJECT], станция [OBJECT] (No в реестре [DOCUMENT_NUMBER]). При наличии фото-материалов отсутствия указанного объекта, направить их в адрес Конкурсного управляющего. Конкурсный управляющий заранее благодарит за предоставление информации по настоящему запросу. На основании, что в соответствии с ст. 20.3 Закона о банкротстве физические лица, юридические лица, государственные органы, органы местного самоуправления представляют заявленные арбитражным управляющим сведения в течение семи дней с момента получения запроса без взимания платы. Документы и информация для конкурсного управляющего прошу направить по адресу: [LOCATION] и на эл. почту: [CONTACT]. Контактный телефон: [CONTACT]. Конкурсный управляющий [ORGANIZATION] [PERSON] [SEP] Арбитражное управление признано несостоятельным (банкротом), открыто конкурсное производство по подозрению в банкротстве. Для снятия объекта с учета, необходимо подтверждение отсутствия следующего объекта ОНВОС на окружной седьмой спеду: ВЖГ [OBJECT, станция «OBSJECT».",137
Блок заместителя генерального директора по строительству,"[ORGANIZATION ID] из [ID], OTH [ID LOCATION OBJECT] [DOCUMENT_NUMBER] Поиск из [DATE_TIME] No [DOCUMENT_NUMBER] менеджера договорного сопровождения [ORGANIZATION] [PERSON] Уважаемый [PERSON]! В свете вышеизложенного, 14 июня года, я принял к сведению проект дополнительного соглашения о аренде участков земли, номер в целях проверки того, является ли соглашение подписаным в приложении. Со всем уважением, Генеральный директор [ORGANIZATION] [PERSON]. [SEP] Генеральный директор «ORGANIZATION» Геннадий Зюганов принял к сведению проект дополнительного соглашения о аренде участков земли, номер в целях проверки того, является ли соглашение подписаным в приложении.",138
Проект сервиса скважин,"[ORGANIZATION] оказывает услуги по телеметрическому и технологическому сопровождению при наклонно-направленном и горизонтальном бурении и технологическому сопровождению (прокату) буровых долот и забойных двигателей по договорам [DOCUMENT_NUMBER], [DOCUMENT_NUMBER], [DOCUMENT_NUMBER]. В ответ на Ваше письмо О недобвительной работе сообщаем, что разработан план корректирующих мероприятий по недопущению инцидентов с преждевременными отказами ВЗД, преждевременных отказов телеметрического оборудования. Прошу Вас обратить внимание, что инциденты, связанные с преждевременными отказами буровых долот, не были зафиксированы. Так же, не было инцидентов с отказом ВЗД [OBJECT] на скважине [LOCATION] [ORGANIZATION]. В период возникновения инцидентов с ВЗД [OBJECT] - [OBJECT] ОК [ORGANIZATION] с фиксированным углом наклона на КП [LOCATION] [OBJECT] находилось в стоянке-месте. Исп.: [PERSON] [CONTACT] e-mail: [CONTACT] [ORGANIZATION] и было завезено на проект только лишь по просьбе представителей [ORGANIZATION]. Далее необходимо отметить отсутствие проезда к кустовым площадкам КП [LOCATION], КП [LOCATION] после окончания паводкового периода. Отсутствие подъездных путей приводит к возникновению риска несвоевременного подвоза оборудования, а также несвоевременной смене персонала. [ATTACHMENTS] [SEP] Объявлен план корректирующих мероприятий по недопущению преждевременных отказов телеметрического и технологического сопровождения при наклонно-направленном и горизонтальном бурении скважин и забойных двигателей по договорам «ORGANIZATION», разработанный в рамках недобвительной рабочей группы.",139
Управление по проектным работам,"[ORGANIZATION] Общество с ограниченной ответственностью Научно Исследовательский Проектный Институт нефти и газа [ORGANIZATION] (ООО НИПИ НГ [ORGANIZATION]) [LOCATION] ОКПО [ID], ОГРН [ID] ИНН/КПП [ID] от [DATE_TIME] No [DOCUMENT_NUMBER] на No от Начальнику управления по ПИР и взаимодействию с надзорными органами [ORGANIZATION] [PERSON] Об устранении предписания [ORGANIZATION] Проект: [DOCUMENT_NUMBER] Необходимость ответа: нет Уважаемый [PERSON]! По объекту [OBJECT]. Куст скважин No [NUMBER] в ответ на Ваше обращение No [DOCUMENT_NUMBER] от [DATE_TIME] касаемо устранения предписания [ORGANIZATION] направляем Вам откорректированный том [DOCUMENT_NUMBER] и подтверждение главного инженера проекта о соответствии изменений, внесенных в проектную документацию, получившую положительное заключение экспертизы проектной документации, требованиям части 3.8 статьи 49 Градостроительного Кодекса РФ. Также направляем исполнительную смету на выполнение работ по корректировке документации. [ATTACHMENTS] [SEP] Научно Исследовательский Проектный Институт нефти и газа «ORGANIZATION» (ООО НИПИ НГ (ORГANIIZAТИON) устранил предписание по корректировке проектной документации объекта «Куст скважин No [NUMBER] и подтвердил положительное заключение экспертизы документации, получившей положительное заключительное заочное заключение Градостроительного кодекса Российской Федерации).",140
Блок директора по мощностям,"Начальнику отдела по бурению [ORGANIZATION] [PERSON] Общество с ограниченной ответственностью [ORGANIZATION] бурение ([ORGANIZATION] бурение) Филиал [LOCATION] бурение - [LOCATION] [ORGANIZATION] [LOCATION], [CONTACT], e-mail: [CONTACT], www.[WEBSITE] [ID], [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] согласовании I-пропуска в системе Интеллект Уважаемый [PERSON]! Сообщаем Вам, что буровые установки (далее БУ) [MODEL] производства [ORGANIZATION], эксплуатируемые на объектах [ORGANIZATION] требуют проведения модернизации механизма перемещения и выравнивания. На объекты строительства [OBJECT] от [ORGANIZATION] поступило буровое оборудование (далее БО) для монтажа на БУ. Документы, загруженные в систему Интеллект на специалиста по техническому обслуживанию БО [PERSON], планируемого на проведение шеф-монтажа механизма перемещения и выравнивания бурильного отклонения по причине высокого сердечно-сосудистого риска (Score-2 10). Данный сотрудник в компании является единственным высококвалифицированным специалистом, имеющим опыт выполнения шеф-монтажных, пуско-наладочных работ. Ввиду отсутствия других квалифицированных сотрудников в [ORGANIZATION], с целью выполнения проектной программы на [DATE_TIME] и проведения качественного шеф-монтажа механизма перемещения и выравнивания на БУ [MODEL] зав. No[NUMBER], прошу Вас рассмотреть возможность согласовать заезд на объекты специалиста по техническому обслуживанию БО [PERSON]. Все документы загружены в систему Интеллект согласно договоренности сотрудника. [ATTACHMENTS] [SEP] Организация с ограниченной ответственностью «ORGANIZATION] требует модернизации механизма перемещения и выравнивания бурильного отклонения по причине высокого сердечно-сосудистого риска (Score-2 10). Документы загружены в систему Интеллект на специалиста по техническому обслуживанию «PERSON».",141
Блок заместителя генерального директора по защите,"www., Division [ORGANIZATION], at [LOCATION] Мир, d. [NUMBER], at [CITY], заместитель Генерального директора по вопросам защиты предприятий [ZIP_CODE] Заместитель Генерального директора по вопросам защиты предприятий [ORGANIZATION] [PERSON] [EMAIL] Заместитель Генерального директора по вопросам защиты предприятий [PERSON] Заместитель Генерального директора по вопросам защиты предприятий [PERSON] Заместитель Генерального директора по вопросам защиты предприятий [PERSON] Заместитель Генерального директора по вопросам защиты предприятий [PERSON] Заместитель Генерального директора по вопросам защиты предприятий Заместитель Генерального директора по вопросам защиты предприятий Г-н Г-н Заместитель Генерального директора по вопросам защиты предприятий { [DOCUMENT_NUMBER] Г-н Отдел экономической безопасности и борьбы с коррупцией располагает следственным досье No зарегистрированным в реестре жалоб и сообщений о правонарушениях, административных правонарушениях, инцидентах, мошеннических действиях против С учетом вышеизложенного в соответствии с пунктом 1 статьи 7 Федерального закона о борьбе с организованной преступностью от [DATE_TIME] No Федерального закона об оперативном розыске, пунктами 4 статьи 10 и пунктом 1 статьи 13 Федерального закона о борьбе с организованной преступностью и транснациональной организованной преступностью я прошу Вас организовать рассылку следующей информации: Если с IP [PERSON] заключены соглашения об аренде оборудования, ГГРИНИП: [ID] с [DATE_TIME] по настоящее время Если бы такие договоры были заключены, я был бы признателен Вам за предоставление копий договоров, заключенных со всеми приложениями и всеми имеющимися дополнительными соглашениями; За ограниченную продолжительность времени, выделяемую для подтверждения, просьба представить запрошенную информацию при первой же возможности, но не позднее, за счет ее направления по электронному адресу [CONTACT] со ссылками на требуемые первоначальные документы и информация, имеющуюся на странице, запросимый сайт: [ORGANIZATION LOCATION], Inter with Mira, d». По всем вопросам, касающимся исполнения просьбы, просьба обращаться к инициаторам заявки по телефону по телефону Документ, подписанный электронным сертификатом [ID] Владелец [PERSON] [ID] Действительно от [DATE_TIME] до [DATE_TIME]Spe: [PERSON] [CONTACT] [SEP] Заместитель Генерального директора по вопросам защиты предприятий Г-н, который занимается защитой промышленных предприятий, просит предоставить копии соглашений об аренде оружия и другие данные о правонарушениях, административных правонарушений, мошеннических действиях и мошенничестве.",142
"Проект ""Новая нефть""","[ORGANIZATION] Компания [PERSON] Лоджелко, Инк. [LOCATION] Телефон: [CONTACT] Факс: [CONTACT] Исполнительному директору проекта [OBJECT] нефть [ORGANIZATION] Газпромнефть-Заполярье [PERSON] [ID] Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] Касательно: Проведения технической сессии на производственной базе Уважаемый [PERSON]! [ORGANIZATION] [PERSON] Лоджелко, Инк. (далее – [ORGANIZATION]) выражает Вам свое почтение, благодарит за проявленный интерес к выполнению геофизических исследований скважин и работ по расширенному комплексу ГИС, а также ГДК-ОПК. В рамках развития технологического партнерства с [ORGANIZATION] [DATE_TIME] [ORGANIZATION] предлагает рассмотреть возможность участия Ваших сотрудников в Технологических семинарах на базе [ORGANIZATION] в г. [CITY]. На данных семинарах планируется рассмотрение технических аспектов новых технологий и оборудования, таких как [PRODUCT] (пластометрия нового поколения) и [PRODUCT] (скважинный керноотборник), применение данного оборудования позволяет улучшить точность исследований пластов с различными свойствами, сократить время проведения исследований за счет универсальности оборудования. [ATTACHMENTS] [SEP] «Газпромнефть-Заполярье» предлагает участие в Технологических семинарах на производственной базе «ORGANIZATION» в рамках развития технологического партнерства с «DATE_TIME». В рамках этого партнерства «PERSON] рассматривает возможность участия сотрудников в технологических семинарах.",143
Блок заместителя генерального директора по закупкам,"[ORGANIZATION] по управлению системой качества и информационной безопасности [ORGANIZATION] [PERSON] 625048, [LOCATION], город [CITY], улица [STREET], дом [HOUSE] E-mail: [CONTACT] 111677, [LOCATION], город [CITY], улица [STREET], дом [HOUSE], квартал [QUARTER] Телефон: [CONTACT] E-mail: [CONTACT] ИНН/КПП [ID]/[ID] [DATE_TIME] No [DOCUMENT_NUMBER]/[YEAR]/[NUMBER] На [NUMBER] приеме представителей Уважаемый [PERSON]! В ответ на Ваше обращение сообщаем о готовности к приему представителей [ORGANIZATION] на производственных площадках [ORGANIZATION] и Филиала [ORGANIZATION] в г. [CITY] по адресу: [REGION], город [CITY], [STREET], дом [HOUSE] с юго активная зона текущего статуса производства клапана регулирующего DN [NUMBER] мм PN [NUMBER] МПа, изготовленного по опросному листу [DOCUMENT_NUMBER]. Обращаем Ваше внимание, что на территории Филиала [ORGANIZATION] в г. [CITY] запрещена ведение и фотография, а также действия контрольно-нормативных режимов. В целях исключения недоразумений и своевременного оповещения просьба проинформировать о вашем направлении необходимой информации о направляемых представителях и наличии у них соответствующих планшетов. Заместитель директора по продажам [PERSON] www.[ORGANIZATION].ru [SEP] «ORGANIZATION] сообщает о готовности к приему представителей на производственных площадках Филиала [ORГAНIZАTIОN] в г. [CITY] с юго активная зона текущего статуса производства клапана регулирующего DN [NUMBER] МПа.",144
Блок бизнес-директора,"Щ (Три миллиона шестьсот двадцать пять шестьсот рублей с НДС, включенный в федеральный закон (20 3 заполнение заправочных карточек. Организация. Срок действия предложения - 60 дней. 3. Перечень работ, выполняемых в соответствии с техническими заданиями. 4. Заказчик оплачивает выполненные работы на основании договорных документов Сторон, подписанных Стороной по договору о выполненных работах, иных видов документа, включая электронный документооборот ) Счет-фактура подписывается Сторонами в срок до 30 календарных дней после даты сдачи счетов. Обратная связь с заказчиком по онлайн-счетам осуществляется только после того, как денежные средства с банковского счета Заказчика были списаны с его корреспондентского счета. 4. Сроки выполнения работ с 5. В случае изменения качественных или количественных характеристик системы Заказчиком, или при возникновении дополнительных требований к реализации проекта, стоимость проекта может быть изменены. Приложение 1. Ориентировочно [SEP] Заказчик оплачивает выполненные работы в соответствии с техническими заданиями. Стоимость проекта составит три миллиона шестьсот двадцать пять шестьдесят рублей с НДС, включенный в федеральный федеральный закон, включенного в федеральные законы. Приложение 1. Ориентировочная стоимость выполненных работ может быть изменена в случае возникновения дополнительных требований к реализации проекта или при возникновении дополнительных дополнительных условий.",145
Блок директора по портфелю,"[ORGANIZATION] Техническому директору [ORGANIZATION] [LOCATION] тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT] www.[ORGANIZATION] ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на [FINANCIAL_DATA] Уважаемый [PERSON]! В рамках запроса [ORGANIZATION] ( [ATTACHMENTS] [SEP] Техническому директору [ORGANIZATION] «LOCATIAL_DATA] «PERSON» (PERСON) «ORГANGIZAТИON_LOCIAL-DATBE_TIME] «ATTACHCHMENTS] (ATTACHMENGTS_PERSE_TIME) «PERSON/PERRSOН] (PerSОN) может быть",146
Блок заместителя генерального директора по организационным вопросам,"[ORGANIZATION] [LOCATION] [DOCUMENT_NUMBER] [CONTACT] Уважаемый [PERSON]! В связи с загрузкой на ВЖК и ВЖГ [OBJECT] [DATE_TIME] основным меню, заказными позициями (выпечка пирогов) и ДНК [OBJECT] с дегустационным столом, персонал столовых не справится одновременно с приготовлением. Прошу вас согласовать перенос проведения ДНК на [OBJECT] на [DATE_TIME]. [PERSON] [SEP] «PERSON] не справится одновременно с приготовлением ДНК и ВЖГ и ДНК на основном меню столовых столовых. В связи с загрузкой основного меню основным меню, персонал столовых не справился одновременно со приготовлением пирогов и пирогов с дегустационными позициями.",147
Блок директора по мощностям,"[ORGANIZATION] Директору по вводу новых мощностей [ORGANIZATION] [LOCATION] тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT], www.[WEBSITE] [ID], [ID], [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] согласовании бурильных труб Уважаемый [PERSON]! [ORGANIZATION] – [REGION] [ORGANIZATION], согласно производственной программе, ведет работы по строительству эксплуатационных скважин по суточной ставке на [REGION] НГКМ для нужд [ORGANIZATION]. В соответствии с требованиями технического задания [ORGANIZATION] к порядку и условиям оказания услуг [DOCUMENT_NUMBER] бурение эксплуатационных скважин по суточной ставке или фиксированной ставке (в т.ч. мобильными установками) на [REGION] НГКМ бурение секции предлагаются с использованием бурового инструмента [INSTRUMENT_TYPE]-[DIMENSIONS] S-[CONNECTION_TYPE] тип соединения [CONNECTION_TYPE], в количестве [FINANCIAL_DATA]. Инструмент данного типоразмера в необходимом количестве поставляется для обеспечения 2-х буровых установок. В свою очередь для буровой установки [OBJECT] No[NUMBER] проводятся закупочные процедуры на приобретение [INSTRUMENT_TYPE]-[DIMENSIONS] S-[CONNECTION_TYPE] и с учетом сроков поставки не менее [FINANCIAL_DATA] дней, бурильный инструмент не успеет прибыть на объект к моменту начала бурения. На основании вышеизложенного, для выполнения работ по строительству скважин для [ORGANIZATION], прошу Вас согласовать работы трубой бурильной [INSTRUMENT_TYPE]-[DIMENSIONS] мм S-[CONNECTION_TYPE] на одной из трех буровых установок на проекте. Заместитель генерального директора ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат [ID] Владелец [PERSON] Действителен с [DATE_TIME] по [DATE_TIME] [PERSON] [SEP] «ORGANIZATION] введет работы по строительству эксплуатационных скважин по суточной ставке на «REGION НГКМ для нужд [ORГANCIZAТИON». Директор по вводу новых мощностей, согласно производственной программе, ведет работы по введению новые мощности.",148
"Проект ""Южный""","[ORGANIZATION] [LOCATION CONTACT], электронная почта: [CONTACT], www.[DOMAIN] [ID] [DATE_TIME] [PERSON] Название компании [ORGANIZATION] Уважаемый [PERSON]! В рамках процесса определения прав на землю в ходе разработки проектных документов проект "" рулевое предприятие "" в рамках рабочего проекта "" Комплекта по захоронению скважины No [NUMBER также отвечает "" [ORGANIZATION] на принятие земельных титулов [DOCUMENT_NUMBER ATTACHMENTS] [SEP] Компания «ORGANIZATION» отвечает на принятие земельных титулов в рамках процесса определения прав на землю в рамок процесса определения прав на земельные титулы в ходе разработки проектных документов, разработки документальных документов в рамки процесса принятия земельных претендентов на земли в рамке процесса утверждения земельных титулов. «PERSON_NUMBER ATTACHMENTS ATТACHCHMENETTS] отвечает за принятие титулов «",149
Блок директора по мощностям,"[ORGANIZATION] филиал [LOCATION] - [OBJECT] [ORGANIZATION] [PERSON] [LOCATION], [CONTACT] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] привлечении водоперевозящей техники Уважаемый [PERSON]! В ответ на письмо No [DOCUMENT_NUMBER] от [DATE_TIME] г. сообщаем, что фактический комплект спецтехники на КП No5 ТЮ и КП No8 ТЮ соответствует ранее согласованному с [ORGANIZATION] оптимальному перевозу TC. В части исполнения п. 2.20 ТЗ необходимо отметить следующее: * Водозаборная скважина на КП No8 ТЮ признана безводной; * Водоснабжение КП No8 ТЮ из природных поверхностных источников длиной до 2000м невозможно, ввиду их отсутствия на данном участке местности. В связи с этим, просим Вас подтвердить привлечение дополнительной водоперевозящей техники с дальнейшей компенсацией затрат, по направлениям ранее расценкам. [ATTACHMENTS] [SEP] «ORGANIZATION] требует привлечения дополнительной водоперевозящей технической техники на КП No5 ТЮ и КП No8 ТЮ с дальнейшей компенсационной компенсацией затраченных затрачданий.",150
Проект «Обустройство объектов Новейшей нейти»,"[DATE_TIME] sh. Нет [DOCUMENT_NUMBER] Руководитель проекта [OBJECT] [ORGANIZATION] [PERSON] О разработке программы мониторинга окружающей среды производства [PERSON]! Контракт на строительство был заключен между далее - "" заказчик "") и далее - "" подрядчик "") и далее - "" подрядчик В соответствии с положением контрактору будет поручено подготовить проект экологической программы наблюдения за осуществлением и обеспечения выполнения действующих видов работ. Следует отметить, что экологический мониторинг производственной продукции (далее именуемый ПМС) определяется в разделе, посвященном проектной документации (ППС) (общая информация о деятельности по охране окружающей среды). Поскольку проектная документация на сайте "" не получила от государства положительного мнения относительно воздействия на окружающую среду и нет разрешений на строительство, [ORGANIZATION] просит вас договориться о переносе сроков разработки программы PEM до получения разрешения на строительство и получения заключения ""Wirtschaftsprüfer Примите, г-н Генеральный директор, заверения в моем самом высоком уважении: [PERSON] [CONTACT] [CONTACT] [PERSON] [SEP] Контракт на разработку экологического мониторинга окружающей среды производственной продукции был подписан. Контракту будет поручено подготовить экологическую программу наблюдения за осуществлением и обеспечением выполнения действующих действующих видов работ.",151
Управление по проектным работам,"[ORGANIZATION] [LOCATION] Телефоны: [CONTACT], Телефакси: [CONTACT] E-mail: [CONTACT] Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] На No [DOCUMENT_NUMBER] от [DATE_TIME] Начальнику управления по проектно-изыскательским работам и взаимодействию с надзорными органами [ORGANIZATION] [PERSON] Заместителю главного инженера – начальнику управления по проектированию объектов капитального строительства [ORGANIZATION] [PERSON] E-mail: [CONTACT] Уважаемый [PERSON]! В ответ на письмо No [DOCUMENT_NUMBER] от [DATE_TIME] ( [ATTACHMENTS] [SEP] Начальник управления по проектно-изыскательским работам и взаимодействию с надзорными органами «ORGANIZATION/LOCATIОN/PERSON] «PERСON» «PerSOН» (PERSSON) (PERSONG) «PERSON». Ответ на письмо No [DOCUMENT_NUMBER] (ATTACHCHMENТS] ( [ATТACHLMEN",152
Блок заместителя генерального директора по безопасности,"[ORGANIZATION] [PERSON] [CONTACT] [ORGANIZATION] [LOCATION] [CONTACT] [ID] [DOCUMENT_NUMBER] О рассмотрении проекта дополнительного соглашения [DOCUMENT_NUMBER] Уважаемый [PERSON]! [ORGANIZATION] в ответ на письмо от [DATE_TIME] [DOCUMENT_NUMBER] сообщает о рассмотрении проекта дополнительного соглашения [DOCUMENT_NUMBER] к договору от [DATE_TIME] [DOCUMENT_NUMBER] на оказание услуг по разработке, перестраиванию и реализации климатического проекта, направленного на снижение парниковых газов с получением углеродных единиц, выданных в результате реализации проекта (далее – Дополнительное соглашение). [ORGANIZATION] выражает согласие в заключении Дополнительного соглашения, предусматривающего корректировку производственной программы и перевода негарантированного объема [DATE_TIME] в гарантированный объем [DATE_TIME], согласно прилагаемой редакции. [ATTACHMENTS] [SEP] «ORGANIZATION] рассматривает проект дополнительного соглашения, предусматривающего снижение парниковых газов с получением углеродных единиц, выданных в результате реализации климатического проекта, направленного на снижения парниковыми газов.",153
Блок технического директора,"[ORGANIZATION] Адрес местонахождения: [LOCATION] Тел.: [CONTACT]; e-mail: [CONTACT] Адрес местонахождения Обособленного подразделения No1: [LOCATION]; Адрес местонахождения Обособленного подразделения No2: [LOCATION]; Адрес местонахождения Обособленного подразделения No3: [LOCATION]. Тел.: [CONTACT], факс: [CONTACT], ОРГН [ID], ИНН [ID], www.[DOMAIN] [DATE_TIME] г. No [DOCUMENT_NUMBER] О допуске персонала к работам в действующих электроустановках Уважаемый [PERSON]! В соответствии с договором подряда No [DOCUMENT_NUMBER] между [ORGANIZATION] и [ORGANIZATION] от [DATE_TIME] г. для проведения строительных монтажных работ на следующих объектах строительства: Реконструкция Установки подготовки нефти [OBJECT]. Прошу Вас допустить [ORGANIZATION] в качестве командированных персонала, согласно пп. 46 Правил по охране труда при эксплуатации электрических приказом Минтруда России от [DATE_TIME] No903н, с изменениями на [DATE_TIME]), с предоставлением права выдачи направлений, битов ответственных руководителями, приказами руководителей работ в период с [DATE_TIME] г. по [DATE_TIME] г. для выполнения следующих работ: * Кабельные эстакады, демонтаж крышек люка и противопожарных щитов, монтаж кабельно-проводниковой продукции, монтаж крышек люка и противопожарных щитов, монтаж кабельно-несущей системы; * Блокное-модульное оборудование, заводка и подключение кабельно-проводниковой продукции. Все сотрудники [ORGANIZATION] прошли медицинский осмотр, проверку знаний правил, норм и инструкций по охране труда, электробезопасности, промышленной и пожарной безопасности в объеме, соответствующем их должностным обязанностям. [ATTACHMENTS] [SEP] Работники электроустановок в России могут быть допущены в качестве командированных сотрудников для выполнения следующих строительных монтажных работ в действующих электроустановках, а также принимать участие в строительных работах на следующих объектах строительства: Реконструкция Установки подготовки нефти.",154
